26.03.2021 13:45:34

TIME STEP: 64 = 1s
VOLTAGE RANGE:
CH1= 15V
CH2= 15V
CH3= 15V
CH4= 30V
CH5= 30V
CH6= 30V
CH7= 30V
CH8= 30V

   N     CH1     CH2     CH3     CH4     CH5     CH6     CH7     CH8

 259     4,1     9,9    14,2    14,6    10,8     5,1     0,7     0,4
 260     4,3    10,0    14,3    14,6    10,7     4,9     0,7     0,4
 261     4,4    10,2    14,4    14,5    10,6     4,8     0,6     0,5
 262     4,5    10,3    14,4    14,5    10,5     4,7     0,6     0,5
 263     4,6    10,4    14,5    14,4    10,4     4,6     0,5     0,6
 264     4,8    10,5    14,5    14,4    10,1     4,4     0,5     0,6
 265     4,9    10,7    14,5    14,2    10,0     4,2     0,4     0,7
 266     5,1    10,8    14,6    14,2     9,9     4,1     0,4     0,7
 267     5,2    10,9    14,6    14,1     9,8     4,0     0,4     0,8
 268     5,4    11,1    14,7    14,1     9,6     3,9     0,2     0,8
 269     5,5    11,2    14,7    14,0     9,4     3,8     0,2     0,9
 270     5,6    11,4    14,8    13,9     9,3     3,6     0,2     1,1
 271     5,8    11,5    14,8    13,9     9,2     3,5     0,1     1,1
 272     5,9    11,6    14,8    13,8     9,1     3,4     0,1     1,2
 273     6,1    11,7    14,9    13,6     8,8     3,3     0,1     1,3
 274     6,2    11,8    14,9    13,6     8,7     3,2     0,1     1,3
 275     6,4    11,9    14,9    13,5     8,6     3,1     0,0     1,4
 276     6,5    12,1    14,9    13,4     8,5     2,9     0,0     1,5
 277     6,6    12,2    14,9    13,3     8,4     2,8     0,0     1,6
 278     6,8    12,3    14,9    13,3     8,1     2,7     0,0     1,8
 279     6,9    12,4    15,0    13,2     8,0     2,6     0,0     1,8
 280     7,1    12,5    15,0    13,1     7,9     2,5     0,0     1,9
 281     7,2    12,6    15,0    12,9     7,6     2,4     0,0     2,0
 282     7,4    12,8    15,0    12,8     7,5     2,2     0,0     2,1
 283     7,5    12,8    15,0    12,7     7,4     2,1     0,0     2,2
 284     7,7    12,9    15,0    12,6     7,3     2,0     0,0     2,4
 285     7,8    13,1    15,0    12,6     7,1     1,9     0,0     2,5
 286     8,0    13,2    15,0    12,5     6,9     1,8     0,0     2,6
 287     8,1    13,2    14,9    12,4     6,8     1,8     0,0     2,7
 288     8,3    13,4    14,9    12,2     6,7     1,6     0,0     2,8
